Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"totalOrderAfter = Double.parseDouble(sTotalOrderlAfter.replace("","", """"))",Chrome 131.0.0.0,,,30-11-2024 09:55:24,30-11-2024 09:55:24,0.004s,PASSED
totalExpected = quantityAfter * bPrice,Chrome 131.0.0.0,,,30-11-2024 09:55:24,30-11-2024 09:55:24,0.012s,PASSED
"assert quantityAfter == quantity : ""Quantity not updated yet!""",Chrome 131.0.0.0,,,30-11-2024 09:55:24,30-11-2024 09:55:24,0.002s,PASSED
"assert totalAfter == totalExpected : ""Total update incorrect!""",Chrome 131.0.0.0,,,30-11-2024 09:55:24,30-11-2024 09:55:24,0.001s,PASSED
"assert totalOrderAfter == totalExpected : ""Order total updated incorrect!""",Chrome 131.0.0.0,,,30-11-2024 09:55:24,30-11-2024 09:55:24,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,30-11-2024 09:55:24,30-11-2024 09:55:24,0.003s,PASSED
,,,,,,,
Test Cases/Shopping Cart/SC_Show successful update message,Chrome 131.0.0.0,Successful cart update message must be displayed,,30-11-2024 09:55:24,30-11-2024 09:56:21,56.788s,PASSED
"openBrowser(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 09:55:24,30-11-2024 09:55:45,20.544s,PASSED
driver = getWebDriver(),Chrome 131.0.0.0,,,30-11-2024 09:55:45,30-11-2024 09:55:45,0.003s,PASSED
"navigateToUrl(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 09:55:45,30-11-2024 09:55:50,5.767s,PASSED
"click(findTestObject(""Shopping Cart/a_Product Details""))",Chrome 131.0.0.0,,,30-11-2024 09:55:50,30-11-2024 09:55:57,6.681s,PASSED
"click(findTestObject(""Shopping Cart/btn_PD_Add To Cart""))",Chrome 131.0.0.0,,,30-11-2024 09:55:57,30-11-2024 09:56:06,8.514s,PASSED
"click(findTestObject(""Shopping Cart/a_Cart""))",Chrome 131.0.0.0,,,30-11-2024 09:56:06,30-11-2024 09:56:11,5.547s,PASSED
"productRows = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 131.0.0.0,,,30-11-2024 09:56:11,30-11-2024 09:56:12,0.504s,PASSED
"assert productRows.size() > 0 : ""Cart is still empty after adding products!""",Chrome 131.0.0.0,,,30-11-2024 09:56:12,30-11-2024 09:56:12,0.003s,PASSED
lastRow = productRows.get(productRows.size() - 1),Chrome 131.0.0.0,,,30-11-2024 09:56:12,30-11-2024 09:56:12,0.004s,PASSED
"quantityInput = lastRow.findElement(By.xpath(""/html/body/div[8]/div/div/div/form/div[1]/table/tbody/tr[2]/td[7]/input[3]""))",Chrome 131.0.0.0,,,30-11-2024 09:56:12,30-11-2024 09:56:12,0.272s,PASSED
"quantityBefore = Integer.parseInt(quantityInput.getAttribute(""value""))",Chrome 131.0.0.0,,,30-11-2024 09:56:12,30-11-2024 09:56:12,0.029s,PASSED
quantityInput.clear(),Chrome 131.0.0.0,,,30-11-2024 09:56:12,30-11-2024 09:56:12,0.123s,PASSED
quantityInput.sendKeys(quantity),Chrome 131.0.0.0,,,30-11-2024 09:56:12,30-11-2024 09:56:15,3.062s,PASSED
"click(findTestObject(""Shopping Cart/btn_Update Cart""))",Chrome 131.0.0.0,,,30-11-2024 09:56:15,30-11-2024 09:56:21,5.374s,PASSED
messagePresent = verifyAlertPresent(10),Chrome 131.0.0.0,,,30-11-2024 09:56:21,30-11-2024 09:56:21,0.014s,PASSED
if (messagePresent),Chrome 131.0.0.0,,,30-11-2024 09:56:21,30-11-2024 09:56:21,0.046s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,30-11-2024 09:56:21,30-11-2024 09:56:21,0.003s,PASSED
,,,,,,,
Test Cases/Shopping Cart/SC_Cancel removing product from cart,Chrome 131.0.0.0,"Cancel removing product from cart, product is still in cart",,30-11-2024 09:56:21,30-11-2024 09:58:02,1m - 41.673s,PASSED
"openBrowser(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 09:56:21,30-11-2024 09:56:55,33.686s,PASSED
driver = getWebDriver(),Chrome 131.0.0.0,,,30-11-2024 09:56:55,30-11-2024 09:56:55,0.002s,PASSED
"navigateToUrl(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 09:56:55,30-11-2024 09:57:21,26.530s,PASSED
"click(findTestObject(""Shopping Cart/a_Product Details""))",Chrome 131.0.0.0,,,30-11-2024 09:57:21,30-11-2024 09:57:47,25.541s,PASSED
"click(findTestObject(""Shopping Cart/btn_PD_Add To Cart""))",Chrome 131.0.0.0,,,30-11-2024 09:57:47,30-11-2024 09:57:55,8.146s,PASSED
"click(findTestObject(""Shopping Cart/a_Cart""))",Chrome 131.0.0.0,,,30-11-2024 09:57:55,30-11-2024 09:58:00,5.581s,PASSED
"productRows = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 131.0.0.0,,,30-11-2024 09:58:00,30-11-2024 09:58:01,0.489s,PASSED
"assert productRows.size() > 0 : ""Cart is still empty after adding products!""",Chrome 131.0.0.0,,,30-11-2024 09:58:01,30-11-2024 09:58:01,0.002s,PASSED
lastRow = productRows.get(productRows.size() - 1),Chrome 131.0.0.0,,,30-11-2024 09:58:01,30-11-2024 09:58:01,0.001s,PASSED
"sNameProductDelete = xpath(""/html/body/div[8]/div/div/div/form/div[1]/table/tbody/tr[2]/td[3]"")).getText()",Chrome 131.0.0.0,,,30-11-2024 09:58:01,30-11-2024 09:58:01,0.297s,PASSED
"btnRemove = lastRow.findElement(By.xpath(""//td[9]/a/i""))",Chrome 131.0.0.0,,,30-11-2024 09:58:01,30-11-2024 09:58:02,0.268s,PASSED
"driver.executeScript(""arguments[0].scrollIntoView(true);"", btnRemove)",Chrome 131.0.0.0,,,30-11-2024 09:58:02,30-11-2024 09:58:02,0.026s,PASSED
btnRemove.click(),Chrome 131.0.0.0,,,30-11-2024 09:58:02,30-11-2024 09:58:02,0.136s,PASSED
alert().dismiss(),Chrome 131.0.0.0,,,30-11-2024 09:58:02,30-11-2024 09:58:02,0.038s,PASSED
"updatedProductRows = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 131.0.0.0,,,30-11-2024 09:58:02,30-11-2024 09:58:02,0.274s,PASSED
isProductStillExist = false,Chrome 131.0.0.0,,,30-11-2024 09:58:02,30-11-2024 09:58:02,0.001s,PASSED
for (org.openqa.selenium.WebElement row : productRows),Chrome 131.0.0.0,,,30-11-2024 09:58:02,30-11-2024 09:58:02,0.299s,PASSED
if (!(isProductStillExist)),Chrome 131.0.0.0,,,30-11-2024 09:58:02,30-11-2024 09:58:02,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,30-11-2024 09:58:02,30-11-2024 09:58:02,0.002s,PASSED
,,,,,,,
Test Cases/Shopping Cart/SC_Successfully removed an item from the cart,Chrome 131.0.0.0,"Add products to cart, then remove products from cart to empty cart.",,30-11-2024 09:58:02,30-11-2024 09:59:00,57.231s,PASSED
